, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120
10, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154, 0.060166, 0.0560166, 0.0518672, 0.0477178, 0.0435685
11, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154, 0.060166, 0.0560166, 0.0518672, 0.0477178
12, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154, 0.060166, 0.0560166, 0.0518672
13, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154, 0.060166, 0.0560166
14, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154, 0.060166
15, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647, 0.0643154
16, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141, 0.0684647
17, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635, 0.0726141
18, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129, 0.0767635
19, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622, 0.0809129
20, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116, 0.0850622
21, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361, 0.0892116
22, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104, 0.093361
23, 0.595436, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166, 0.0975104
24, 0.599585, 0.595436, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809, 0.10166
25, 0.603734, 0.599585, 0.595436, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959, 0.105809
26, 0.607884, 0.603734, 0.599585, 0.595436, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108, 0.109959
27, 0.612033, 0.607884, 0.603734, 0.599585, 0.595436, 0.591286, 0.587137, 0.582988, 0.578838, 0.574689, 0.570539, 0.56639, 0.562241, 0.558091, 0.553942, 0.549793, 0.545643, 0.541494, 0.537344, 0.533195, 0.529046, 0.524896, 0.520747, 0.516598, 0.512448, 0.508299, 0.504149, 0.5, 0.495851, 0.491701, 0.487552, 0.483402, 0.479253, 0.475104, 0.470954, 0.466805, 0.462656, 0.458506, 0.454357, 0.450207, 0.446058, 0.441909, 0.437759, 0.43361, 0.429461, 0.425311, 0.421162, 0.417012, 0.412863, 0.408714, 0.404564, 0.400415, 0.396266, 0.392116, 0.387967, 0.383817, 0.379668, 0.375519, 0.371369, 0.36722, 0.363071, 0.358921, 0.354772, 0.350622, 0.346473, 0.342324, 0.338174, 0.334025, 0.329876, 0.325726, 0.321577, 0.317427, 0.313278, 0.309129, 0.304979, 0.30083, 0.29668, 0.292531, 0.288382, 0.284232, 0.280083, 0.275934, 0.271784, 0.267635, 0.263485, 0.259336, 0.255187, 0.251037, 0.246888, 0.242739, 0.238589, 0.23444, 0.23029, 0.226141, 0.221992, 0.217842, 0.213693, 0.209544, 0.205394, 0.201245, 0.197095, 0.192946, 0.188797, 0.184647, 0.180498, 0.176349, 0.172199, 0.16805, 0.1639, 0.159751, 0.155602, 0.151452, 0.147303, 0.143154, 0.139004, 0.134855, 0.130705, 0.126556, 0.122407, 0.118257, 0.114108
